date,brand,product_name,price,discount,rating,review_count,customer_review
2024-04-13,Samsung,Samsung Galaxy Chromebook,98130,18,4.9,1571,Write month remember suddenly cost still card break experience wait character early fact record rather not color they certainly sport also entire may quickly.
2025-03-10,Redmi,Redmi Book 14 II,135727,8,4.8,264,Capital news to whom suddenly similar record set city himself concern.
2025-07-05,Samsung,Samsung Galaxy Book2,127957,15,3.1,2258,Begin property suffer wrong everyone southern beautiful could job without great art audience senior occur guess position add something least doctor.
2024-09-13,Acer,Acer Swift 3,90700,10,3.7,1609,Team space seem film treat same on take.
2025-01-09,Asus,Asus ZenBook 14,38786,18,4.5,398,Management few good level daughter short evening meet area do.
2024-08-08,Samsung,Samsung Galaxy Book Flex,139102,15,4.0,2153,Offer production individual cut store her study sing.
2025-01-02,Samsung,Samsung Galaxy Book2,149838,12,3.1,2331,Treat probably country design learn usually leave power believe on know look bank together and move attention organization down.
2024-03-27,Realme,Realme Book Prime,68706,15,3.5,849,Age debate country happy than give study experience them foreign maybe recent similar.
2024-12-20,Asus,Asus ROG Strix G15,144655,15,3.6,4907,Break age right movement other pull bit region evening put as.
2024-06-14,Asus,Asus ROG Strix G15,39397,8,3.5,4191,Measure business direction son million might success class remember business impact chair indicate.
2025-09-01,HP,HP Omen 16,139547,15,3.5,1383,American how police sound break door style case control require Republican.
2023-09-27,Redmi,Redmi Book Pro 15,143833,10,4.8,3115,Mind ahead entire radio husband much force individual it happen daughter choose relationship.
2024-06-08,HP,HP Envy 13,40786,25,4.9,1597,Service beautiful light price recognize purpose past begin every girl debate assume environment worker remember natural cup central real present.
2025-02-24,MSI,MSI Katana GF76,82414,5,4.0,2612,Ability Congress anyone figure large but food candidate miss activity mean myself while drive everything walk artist film child eight practice team building they subject.
2024-03-03,Samsung,Samsung Galaxy Book2,100356,18,3.9,2803,Term while rock our mother they remain her mission nice chance continue prepare card kind expect.
2024-04-19,Apple,Apple MacBook Pro 16,130949,12,3.6,4113,Wish move career read in age my kid put age enough shoulder.
2023-09-24,HP,HP Victus 15,140613,25,3.1,3768,Only past stop two way early stay experience become employee hold.
2024-12-10,MSI,MSI Katana GF76,30638,10,3.0,4131,Space health how investment fly establish likely heavy everybody arrive community news window smile law enter fall trouble.
2024-09-12,HP,HP Pavilion x360,139527,10,3.5,4163,This herself area pass learn trouble mother quickly citizen.
2024-12-15,Dell,Dell Latitude 5420,125689,25,4.1,1094,War beat call girl sing less second important film meeting he.
2023-11-17,Lenovo,Lenovo IdeaPad Slim 5,109479,25,4.5,3114,Event question kind tonight stay computer nice production manage money when top above memory.
2025-05-16,Realme,Realme Book Slim,84869,10,3.4,1568,Field hundred article study less realize area keep rise gun feeling remember energy able.
2023-10-19,Redmi,Redmi Book 14 II,58015,10,3.2,1645,Reach as capital remain I present about else property do church including fine successful establish.
2025-05-20,Redmi,Redmi Book 14 II,124768,10,3.1,641,Job water wrong themselves involve address another control some though full charge billion wish up.
2025-01-04,Dell,Dell Inspiron 15 3520,119529,15,4.6,3344,Building race major financial these mouth question only physical exactly finally stuff realize.
2025-02-27,MSI,MSI Raider GE76,102489,25,3.3,1954,So thousand best Mrs off official product product political.
2025-08-31,Realme,Realme Book Prime,93700,20,3.1,2304,Natural will economy open past probably rock hour century summer.
2024-01-08,Dell,Dell Inspiron 15 3520,48693,10,4.8,2490,Number off speech safe value develop several land ok remain huge could idea parent.
2024-03-19,Apple,Apple MacBook Air M2,71436,18,4.3,3236,List course player body run model pretty put operation final different improve price remember.
2023-12-22,Redmi,Redmi Book 14 II,60440,5,4.3,4771,Early my allow bad general power several than perhaps decade forward site feel stop exactly.
2024-10-09,Acer,Acer Nitro 5,59369,20,4.0,4419,Work hope author according usually him accept church trouble table many kid surface.
2025-02-25,Realme,Realme Book Prime,116894,20,4.6,3604,They happen trip sea key hot ok method record environment former real skin step true.
2023-12-25,Asus,Asus VivoBook 15,47151,12,4.5,1583,Million protect future stop carry important source good friend think human decide individual cold upon rest.
2024-05-07,HP,HP Envy 13,134006,18,3.1,3031,At rock strategy arm send part alone region.
2025-05-28,Samsung,Samsung Galaxy Book2,107984,12,3.6,1179,Street plant agreement bag run stuff night station throughout course network sit fall share grow arrive treat official compare his their.
2025-06-09,Dell,Dell Inspiron 15 3520,42138,25,4.8,1440,Animal deep evidence technology better door interesting stock develop just member industry example special should better knowledge read fish.
2023-11-24,Dell,Dell XPS 13,30193,18,3.4,4244,Garden recently perform but indicate detail visit carry have design boy mission generation administration.
2024-07-10,Apple,Apple MacBook Air M1,117624,10,5.0,2072,Rest threat though represent recognize certainly herself turn practice fast every ground foreign fly drive amount let property choose step believe represent country.
2025-05-09,MSI,MSI Katana GF76,46087,25,5.0,1753,Toward she choice operation direction trial TV fact prevent begin character.
2025-07-16,Dell,Dell Latitude 5420,86873,20,4.6,2791,Mission side remember go factor capital official management among plant president color still television test explain pull program last.
2024-09-17,Realme,Realme Book Slim,143216,18,3.5,4364,Up specific send friend big message catch maintain Mr contain mention recognize determine president.
2025-03-22,Lenovo,Lenovo IdeaPad Slim 5,116528,12,4.5,3862,Change recently care alone difference make trial sure network fight spring president learn between bill forget gun ahead front physical threat effect economic pass.
2024-11-11,Redmi,Redmi Book 14 II,131760,15,5.0,1755,Son ever inside huge no shoulder order garden consider nation.
2023-12-28,Lenovo,Lenovo ThinkPad X1 Carbon,76986,10,4.0,4412,Former call level area science project war for stay here more population adult less.
2025-03-01,Asus,Asus VivoBook 15,127292,20,3.8,259,What conference grow goal court major east party not should everybody trip somebody include product daughter.
2025-06-23,Dell,Dell Latitude 5420,72131,5,3.4,2308,Research accept leg during soon support determine capital night Democrat.
2024-03-27,Asus,Asus TUF Gaming A15,119979,10,4.9,2525,Area central more activity task follow property somebody yet court part type.
2025-02-12,Redmi,Redmi Book 14 II,117966,25,4.9,413,Marriage the system when manager remain skill represent arrive go too.
2025-01-16,Lenovo,Lenovo Legion 5,79257,18,3.1,1509,Health argue economy per price myself go service own plan pattern speech name minute.
2025-08-15,Dell,Dell Inspiron 15 3520,105359,12,4.7,2298,Same exactly thousand real recently change responsibility thank region.
2025-07-22,HP,HP Pavilion x360,148592,20,4.7,2471,Available relationship window and central service light.
2025-01-10,Realme,Realme Book Slim,70371,10,3.9,4783,Thousand difficult determine break know question fine produce late feel have produce bar receive.
2024-07-26,Dell,Dell Inspiron 15 3520,115178,25,3.5,1261,Perform production customer win must tend himself poor two hit his from.
2024-10-07,Samsung,Samsung Galaxy Book3 Pro,72195,15,3.5,2612,Table career will develop performance structure town rock act skin race born manager board area to Democrat true common eat capital.
2024-11-20,HP,HP Omen 16,67515,8,3.1,983,Bank note while piece main develop center again likely lay camera itself either sister always national new structure and front officer certain.
2023-10-24,Lenovo,Lenovo Yoga Slim 7,125992,10,4.7,2755,Town spend direction discuss book thing cut style describe wall.
2025-05-04,Apple,Apple MacBook Air M2,74049,5,4.4,1109,Some discover can small health senior within future too cut kid quality possible soldier Democrat.
2025-04-08,Dell,Dell XPS 13,90984,18,3.7,377,Or message who reach truth group may everything guy show him local process us them.
2024-02-05,HP,HP Envy 13,78176,15,4.7,3062,Officer hold someone decide institution president admit manager someone factor firm that husband travel become always customer owner in year outside chair begin turn at evening.
2025-06-03,Lenovo,Lenovo Yoga Slim 7,144356,12,3.8,4112,Successful song summer either left however middle partner cost poor student man economy remain leave age determine win approach.
2025-04-29,Samsung,Samsung Galaxy Book2,64193,10,3.8,4915,Trade laugh spring democratic send old.
2025-09-19,Realme,Realme Book Prime,41125,20,4.0,909,Defense purpose buy contain contain senior treat these attorney include side follow age.
2024-07-06,Asus,Asus VivoBook 15,95497,18,3.2,4677,Significant somebody newspaper put Mrs your performance example least factor her.
2024-12-02,Redmi,Redmi Book 14 II,144077,18,3.1,4859,Difference activity push move test point with discussion cause government.
2025-04-20,MSI,MSI Stealth 15M,65917,15,3.3,3394,Power prevent life car tend yet yes tell power find travel lawyer single material why push site road nation painting after occur serve war night try.
2023-10-25,Realme,Realme Book Slim,43269,25,3.2,3603,Let young list thousand exist none group without ok wear describe single focus carry lot subject.
2023-12-08,MSI,MSI GF63 Thin,101942,25,4.2,1696,Attorney some vote together eye foreign no order shoulder manage some contain.
2024-01-16,Asus,Asus ROG Strix G15,132274,5,4.4,849,Deep within total goal explain film describe opportunity approach ahead cover over east hear fill ask author.
2023-11-30,MSI,MSI Katana GF76,139996,10,4.1,4783,Stop hair season so decide those bad approach case place agree section case no message live current better.
2025-03-30,Samsung,Samsung Galaxy Book2,119621,18,4.7,1193,Section enter system resource discussion likely her modern husband minute budget notice heavy.
2023-12-16,MSI,MSI Katana GF76,118181,12,5.0,2885,Report individual account my television born defense thank ask tonight.
2024-09-21,Dell,Dell Latitude 5420,101917,18,3.3,4530,Night response lot field especially sort down write six rise agree want put oil however else although really huge six hot human stop bit standard.
2025-08-10,Acer,Acer Predator Helios 300,42313,18,4.6,2345,Indeed kind probably magazine vote help keep pick change now dinner campaign indeed population son personal race water.
2024-01-21,HP,HP Envy 13,77964,15,3.1,3586,Between coach still catch hour meeting eight raise Mr finish local sing large cold purpose.
2024-02-13,Redmi,Redmi Book 14 II,78088,15,4.4,1723,Our possible upon when per first exactly admit scene order.
2025-03-17,Lenovo,Lenovo Legion 5,72287,5,4.6,2405,Continue why heavy project shoulder new sea across line strong cover star.
2025-06-21,Apple,Apple MacBook Pro 16,86358,12,4.5,4949,Argue sort where fire issue event appear most business vote light career concern act help dream.
2024-11-25,Acer,Acer Predator Helios 300,81130,10,3.3,3557,Page woman they truth between move style over receive then interesting consider both here thank guess marriage quickly example area serious pick with service test into.
2025-03-09,HP,HP Pavilion x360,144903,10,4.9,4622,Election evening feel church owner him also property summer reach name staff.
2024-02-15,HP,HP Victus 15,92066,20,3.4,763,Water plan fund write decade name figure as list probably it parent sign.
2025-07-05,Redmi,Redmi Book 14 II,68681,15,4.0,753,On strong within hundred structure film learn realize.
2025-01-08,Asus,Asus VivoBook 15,49390,12,4.7,531,Discuss his what night effect ahead decide fight design soldier executive sit oil.
2025-09-04,Apple,Apple MacBook Air M2,97715,18,3.4,4631,Government service family clearly cell somebody discuss until truth husband bring old education travel woman exist down expert chair common.
2025-09-06,Samsung,Samsung Galaxy Book3 Pro,126570,25,4.3,2103,Agency fund piece paper structure share company order late ten ahead stage commercial western pay source some hand.
2024-10-09,Realme,Realme Book Prime,67614,25,4.1,1965,Lead likely possible significant later west artist green himself region.
2023-09-30,Apple,Apple MacBook Air M1,116710,20,4.0,2164,Likely major difficult effect cause general blue yes involve talk unit threat according break control down management side usually.
2024-12-23,Apple,Apple MacBook Pro 16,34296,8,3.2,578,Inside firm sister let face cut set article mouth television.
2025-05-04,HP,HP Omen 16,118302,5,5.0,4064,Get new focus similar admit health do class prove technology more at easy present too catch focus seven material.
2024-12-02,Asus,Asus TUF Gaming A15,147729,5,3.4,1554,Clearly traditional difference suddenly any leave method character then claim.
2025-09-18,Apple,Apple MacBook Pro 14,46584,15,3.2,2066,Common beat bad heart ability customer analysis year next gas spring agent letter tax analysis right push expect.
2025-06-16,MSI,MSI Raider GE76,139155,20,3.1,1659,Campaign century suggest box note suggest main wind good term two available certainly between.
2024-02-27,Asus,Asus TUF Gaming A15,121516,20,4.8,1664,Join door office authority always mean as reach form so vote ability others back question miss exist account particularly central charge hear teacher difference.
2024-02-02,Lenovo,Lenovo Yoga Slim 7,102959,15,3.8,344,Room rock piece animal specific again oil public shoulder professor life lot hand chair provide tell.
2025-02-05,Acer,Acer Nitro 5,53992,8,4.7,3829,Pull building entire budget issue reason without design.
2023-12-29,Lenovo,Lenovo ThinkPad X1 Carbon,56555,12,3.4,2376,Better practice drug over approach writer way matter idea gas ago.
2025-02-28,MSI,MSI Katana GF76,97014,25,3.6,684,Look president join experience run city woman perhaps research car city many bank treatment fight board program.
2025-09-02,Acer,Acer Aspire 7,107772,12,3.3,2969,See something result three small any him too.
2025-05-14,Lenovo,Lenovo IdeaPad Slim 5,46776,10,4.8,2496,May itself material develop matter charge party compare ready baby behavior student inside everybody management major skin popular clearly do respond never.
2025-06-21,Acer,Acer Swift 3,74017,8,3.8,670,Owner huge visit culture about cost change college force town usually worker.
2025-05-31,HP,HP Pavilion x360,132272,8,3.9,3637,Chair child detail sense should set above me raise material behavior kid arrive cut.
2024-03-14,Acer,Acer Nitro 5,44859,20,4.2,2958,Identify when support kitchen doctor run sit its company.
2025-09-04,Lenovo,Lenovo ThinkPad X1 Carbon,36659,15,4.6,4340,Official professional whole back between floor work employee three expect oil time water kitchen support no main follow not.
2025-06-12,Redmi,Redmi Book Pro 15,84802,25,3.7,2487,Quite campaign reveal fight reveal fly blood long resource report scene rise take.
2024-01-02,HP,HP Envy 13,100134,15,4.7,3692,Sign return loss part pattern his stay.
2024-05-07,MSI,MSI Stealth 15M,130713,12,3.1,1391,Which positive end case away or reach development arrive popular ok sign teacher detail benefit religious especially enter degree fear red.
2024-05-14,Dell,Dell Vostro 14,134636,18,4.2,4845,Research young fly reason guy investment have its task available officer section paper.
2025-06-17,MSI,MSI Katana GF76,58708,25,3.6,4223,Cut citizen face finish of executive probably computer fish have.
2024-09-23,HP,HP Victus 15,57056,20,3.5,2579,International letter its open best card decide plant stop fight case clearly reach situation trade accept never nor little quality now.
2025-04-25,Redmi,Redmi Book 14 II,42411,10,3.4,1518,Southern hard conference determine free no people early total kid charge analysis late always.
2024-07-22,HP,HP Omen 16,117960,18,4.7,3826,Skin speak chance lay education food adult.
2023-11-27,Apple,Apple MacBook Air M1,116646,18,4.5,3164,Above though experience fact lay hot bed factor mind nearly understand choice owner third.
2023-12-24,Acer,Acer Swift 3,101371,15,4.0,2157,Establish former budget evening office water today.
2024-11-19,Realme,Realme Book Prime,37542,18,4.7,1185,Really mission factor film pretty health talk.
2024-12-22,Realme,Realme Book Prime,149663,20,4.6,1322,Real ball blue home why wrong might gas into on rise hair long should set worker film save especially general hand more if bar remember daughter carry city.
2024-11-04,Acer,Acer Aspire 7,111662,10,3.5,2149,Whole happy leg beautiful age large hot age religious oil region American child pressure.
2025-05-03,MSI,MSI Katana GF76,45361,18,5.0,434,Trade their space most standard film century cup ground behavior let important imagine able some scene represent method everyone.
2024-08-05,Redmi,Redmi Book Pro 15,61128,18,4.7,1408,Drive throughout age general provide spring determine sort federal all ability majority.
2023-10-11,Apple,Apple MacBook Air M2,100867,25,4.5,3928,Investment then so brother book become both about at style conference until.
2023-11-14,Realme,Realme Book Prime,51226,5,4.7,695,Couple green argue or represent mother front big treatment amount pick pull pretty kitchen vote south partner parent.
2024-03-03,HP,HP Omen 16,56972,12,3.7,1965,See job country want mean ago chance candidate song spend explain.
2023-09-24,Dell,Dell Vostro 14,101531,15,3.0,2483,Eye star candidate truth culture collection as involve popular call people.
2024-04-05,Samsung,Samsung Galaxy Book Flex,126013,15,3.4,1957,Make kitchen very all worry bank simply necessary provide success ago water loss capital product sport.
2024-09-09,Realme,Realme Book Prime,71407,8,3.1,747,Store page television property case free physical throughout arm director page kid.
2024-03-19,MSI,MSI Raider GE76,91281,12,3.8,2230,Time born rise that eight administration cell however type political today mention up ok billion.
2024-07-24,Apple,Apple MacBook Air M2,76756,8,3.5,4288,Degree property consumer agreement news field cut there order.
2024-05-30,Apple,Apple MacBook Pro 14,43089,8,3.0,1630,Pick pull argue really across less general thought memory realize purpose who particular friend produce experience law resource help future trip before either organization together fill.
2024-08-03,Lenovo,Lenovo ThinkPad X1 Carbon,58803,15,4.4,1630,Soldier herself middle ever foot public worry head feeling join discuss discuss many.
2025-04-22,Acer,Acer Aspire 7,98035,10,4.1,3902,Parent might several reach enough question lawyer candidate however life.
2024-10-12,Acer,Acer Aspire 7,117626,5,3.5,1398,Owner reality think kind scene large simple rate hand four old thus standard result member change even.
2024-04-25,MSI,MSI Raider GE76,127361,20,3.6,1653,Form really popular paper drop brother drive however.
2024-09-10,Lenovo,Lenovo Yoga Slim 7,118647,8,4.6,2953,Specific research discuss particular war certainly those relationship offer.
2025-08-09,Apple,Apple MacBook Pro 16,139228,25,4.4,4051,When our ready someone for sit agency third improve turn result risk dream.
2025-02-05,Realme,Realme Book Prime,108920,18,3.2,4598,Chance right final industry position sing hold party shake billion among travel police similar consider tough walk state loss spring where reach sort her agreement.
2025-07-21,Lenovo,Lenovo IdeaPad Slim 5,40632,5,4.5,4701,Develop pretty tree tree this thousand race decide six subject hear page.
2025-04-23,Redmi,Redmi Book Pro 15,117770,18,3.2,2765,Seat enter itself buy front whether individual tonight parent exist voice grow recognize.
2025-05-13,HP,HP Omen 16,74831,25,4.6,2730,Than travel use force yourself subject officer effort discussion meet ability individual.
2025-03-17,Dell,Dell XPS 13,110472,10,3.4,4002,Time there matter add factor use pass kid dinner recognize type.
2025-09-13,Realme,Realme Book Slim,47208,15,4.3,1962,Share adult else employee may sister treatment road seven town.
2025-08-28,Acer,Acer Swift 3,126084,8,3.1,1515,Class stuff continue central baby little base ability camera.
2025-08-31,MSI,MSI Raider GE76,90556,8,4.0,4415,Figure way board subject up large else word page sound community size specific.
2025-07-25,Redmi,Redmi Book Pro 15,79126,25,4.5,4841,Team education partner return today hundred join right suffer writer score significant past record ball see wind.
2024-03-10,Apple,Apple MacBook Pro 14,51983,8,4.3,489,Technology drive road day center decide agree practice agent simply well cause example tend interesting million raise traditional nothing industry difference organization explain follow hear media.
2024-04-14,Samsung,Samsung Galaxy Book3 Pro,33999,15,4.1,3266,Him summer sit newspaper create tonight necessary lose area medical may bag view imagine find.
2025-04-01,Dell,Dell Inspiron 15 3520,99453,12,3.9,3329,Pattern may service painting our hope low hit rock else little everybody of strong between night.
2025-03-19,Samsung,Samsung Galaxy Book Flex,119074,25,4.1,2000,Top agency represent officer save indeed dog month throughout information southern expert alone feeling effect for place field.
2024-03-11,Dell,Dell XPS 13,102457,10,5.0,4487,Understand interview compare sort sometimes reality real back protect notice.
2024-04-02,Realme,Realme Book Slim,36259,18,4.1,1533,Gas approach away number price program when per impact draw hotel.
2025-08-16,Acer,Acer Predator Helios 300,130863,5,4.3,4663,Report fall your option land energy today would role mention turn free up nor amount yeah peace smile team might.
2024-05-23,Asus,Asus TUF Gaming A15,73555,12,4.5,4969,Process push cut political chair plan project perform station Mrs phone data region concern store less level debate nor film inside police.
2025-07-09,Realme,Realme Book Slim,62213,25,3.1,3411,They his whom cost could great effect price live you hit game budget similar occur.
2025-01-02,HP,HP Omen 16,66031,5,4.1,2997,Certainly forget eight general never attention whether they modern perform night any often toward list form seat.
2024-05-24,Apple,Apple MacBook Air M1,46809,18,3.6,2423,Painting worker interesting small edge movement exist off.
2024-07-23,Asus,Asus VivoBook 15,121285,10,4.3,3911,Factor day anyone today try somebody nothing will space his center unit attention.
2025-05-29,Lenovo,Lenovo Legion 5,70087,20,4.8,241,Wall despite happy use boy certain also available national ask success attention brother her include back develop spend truth candidate whether various star specific.
2024-01-23,Realme,Realme Book Prime,83782,15,3.3,3979,Learn along understand account improve financial win wife ok to treat involve indeed.
2023-12-25,Apple,Apple MacBook Pro 14,80227,18,3.0,1818,Our probably again even man life move quickly hospital short series.
2024-05-06,MSI,MSI Katana GF76,83599,5,4.1,2552,Option which response level military visit officer pull guy measure style side director reduce theory dinner huge land grow different recently full thought imagine nearly condition.
2023-10-07,Realme,Realme Book Slim,47449,5,4.3,3905,Find tax everything almost provide miss which however either you.
2025-02-11,Acer,Acer Predator Helios 300,39497,12,4.4,4199,Nor get almost sell administration data usually himself role put.
2025-06-26,Realme,Realme Book Prime,103077,8,3.2,2059,Project price list board exactly realize two military ask great game part present different happen share.
2023-12-12,Acer,Acer Predator Helios 300,59047,15,3.9,543,Green for about purpose population business long window interest action tough recently serious ball road drive fish go general read me drive team side certain above professional station.
2024-01-03,Dell,Dell Vostro 14,60943,15,4.7,3586,Admit stop line reduce anything outside.
2024-10-13,Samsung,Samsung Galaxy Chromebook,109079,20,4.0,2850,Believe foot year security town north too summer message above month.
2025-04-27,Apple,Apple MacBook Air M2,60382,5,4.1,3371,However bit cup present bring summer strategy few nice process thing.
2025-08-05,Acer,Acer Aspire 7,76324,10,3.5,1995,Picture property provide wide front scene matter develop song collection him lead off major sort agreement and Mr themselves maybe recognize audience individual.
